"Rank","Player","Team","Bye","POS","ESPN","Sleeper","CBS","NFL","RTSports","Fantrax","AVG"
"439","Bruce Ellington","","","WR142","","","","","","407","407.0"
"440","Charcandrick West","","","RB122","","","","","","408","408.0"
"441","Mack Hollins","NE","11","WR143","","","","","","409","409.0"
"442","Brandon Tate","","","WR144","","","","","","410","410.0"
"443","Dwayne Harris","","","WR145","","","","","","411","411.0"
"444","Jacob Hollister","","","TE61","","","","","","412","412.0"
"445","Brett Hundley","","","QB53","","","","","","413","413.0"
"446","Roc Thomas","","","RB123","","","","","","415","415.0"
"447","Roberto Aguayo","","","K33","","","","","","416","416.0"
"448","Marquez Valdes-Scantling","","","WR146","","","","","","417","417.0"
"449","Braxton Berrios","","","WR147","","","","","","418","418.0"
"450","Richie James Jr.","","","WR148","","","","","","419","419.0"
"451","Justin Davis","","","RB124","","","","","","420","420.0"
"452","Braxton Miller","","","WR149","","","","","","421","421.0"
"453","Amara Darboh","","","WR150","","","","","","423","423.0"
"454","T.J. Jones","","","WR151","","","","","","424","424.0"
"455","Jason Sanders","NYG","9","K34","","","","","","425","425.0"
"456","Jeremy Kerley","","","WR152","","","","","","426","426.0"
"457","Chris Conley","","","WR153","","","","","","427","427.0"
"458","Niles Paul","","","TE62","","","","","","428","428.0"
"459","Keith Smith","","","RB125","","","","","","429","429.0"
"460","Patrick DiMarco","","","RB126","","","","","","430","430.0"
"461","Andy Janovich","","","RB127","","","","","","431","431.0"
"462","Joe Webb","III","","QB54","","","","","","432","432.0"
"463","Nick Boyle","","","TE63","","","","","","433","433.0"
"464","Chris Moore","","","WR154","","","","","","434","434.0"
"465","Jermaine Gresham","","","TE64","","","","","","435","435.0"
"466","Justin Hunter ","","","WR155","","","","","","436","436.0"
"467","Demarcus Robinson","SF","11","WR156","","","","","","437","437.0"
"468","Brandon Weeden","","","QB55","","","","","","438","438.0"
"469","Demetrius Harris ","","","TE65","","","","","","439","439.0"
"470","Seth DeValve","","","TE66","","","","","","440","440.0"
"471","Nate Sudfeld","","","QB56","","","","","","441","441.0"
"472","Lee Smith","","","TE67","","","","","","442","442.0"
"473","Lance Kendricks","","","TE68","","","","","","443","443.0"
"474","Eli Rogers ","","","WR157","","","","","","444","444.0"
"475","A.J. Derby","","","TE69","","","","","","445","445.0"
"476","Benny Cunningham Jr.","","","RB128","","","","","","446","446.0"
"477","Chad Hansen","","","WR158","","","","","","447","447.0"
"478","De","","'Anthony Thomas","","","WR159","","","","","","448","448.0"
"479","Jamize Olawale","","","RB129","","","","","","449","449.0"
"480","Chris Herndon","IV","","TE70","","","","","","450","450.0"
"481","Nick O","","'Leary","","","TE71","","","","","","451","451.0"
"482","Logan Paulsen","","","TE72","","","","","","452","452.0"
"483","Geno Smith","NYJ","11","QB57","","","","","","453","453.0"
"484","Mason Rudolph","PIT","7","QB58","","","","","","454","454.0"
"485","Josh Hill","","","TE73","","","","","","455","455.0"
"486","Blaine Gabbert","","","QB59","","","","","","456","456.0"
"487","Kendrick Bourne","ARI","9","WR160","","","","","","457","457.0"
"488","Josh Reynolds","","","WR161","","","","","","458","458.0"
""
""
